#{"t_start": 1775963556.936793, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.708547
-43.0,50,1.825439
-50.0,50,1.938931
-49.0,50,2.049622
-50.0,50,2.164919
-50.0,50,2.276989
-50.0,50,2.393627
-50.0,50,2.503649
-50.0,50,2.620957
-49.0,50,2.735043
-49.0,50,2.853688
-50.0,50,2.971721
-50.0,50,3.085658
-49.0,50,3.199448
-50.0,50,3.309513
-50.0,50,3.424163
-50.0,50,3.538311
-50.0,50,3.651244
-50.0,50,3.766578
-50.0,50,3.881109
-50.0,50,4.000012
-49.0,50,4.109766
-50.0,50,4.220475
-50.0,50,4.333311
-50.0,50,4.448055
-50.0,50,4.560299
-50.0,50,4.674923
-50.0,50,4.795173
-49.0,50,4.914734
-50.0,50,5.061113
-50.0,50,5.179948
-50.0,50,5.297313
-50.0,50,5.411033
-49.0,50,5.522971
-50.0,50,5.639961
-50.0,50,5.753347
-50.0,50,5.887986
-50.0,50,6.009255
-50.0,50,6.120994
-50.0,50,6.233679
-46.0,50,7.79924
-49.0,50,7.912107
-50.0,50,8.028771
-50.0,50,8.14246
-36.0,50,8.262186
-39.0,50,8.376954
-50.0,50,8.492761
-50.0,50,8.606874
-50.0,50,8.732416
-50.0,50,8.845375
-49.0,50,8.964294
-50.0,50,9.079478
-50.0,50,9.193092
-50.0,50,9.312053
-50.0,50,9.423165
-50.0,50,9.54213
-50.0,50,9.655916
-50.0,50,9.769182
-50.0,50,9.890407
-50.0,50,10.007751
-50.0,50,10.122809
-50.0,50,10.241898
-50.0,50,10.364292
-50.0,50,10.481366
-50.0,50,10.601177
-50.0,50,10.714737
-50.0,50,10.83778
-50.0,50,10.956154
-46.0,50,11.06871
-50.0,50,11.184418
-50.0,50,11.301199
-50.0,50,11.412364
-50.0,50,11.528455
-50.0,50,11.643352
-50.0,50,11.759376
-50.0,50,11.870969
-50.0,50,11.987214
-50.0,50,12.100212
-50.0,50,12.212171
-49.0,50,12.327706
-48.0,50,12.44267
-49.0,50,13.819484
-44.0,50,13.933877
-50.0,50,14.051585
-50.0,50,14.167232
-50.0,50,14.294391
-46.0,50,14.421221
-50.0,50,14.54635
-50.0,50,14.663976
-50.0,50,14.786206
-46.0,50,14.903295
-50.0,50,15.027422
-50.0,50,15.146511
-50.0,50,15.264805
-49.0,50,15.381895
-50.0,50,15.499313
-47.0,50,15.621263
-50.0,50,15.752671
-50.0,50,15.883459
-48.0,50,16.004169
-50.0,50,16.126894
-50.0,50,16.245057
-50.0,50,16.360341
-50.0,50,16.479991
-49.0,50,16.598348
-50.0,50,16.721575
-50.0,50,16.838049
-50.0,50,16.955346
-50.0,50,17.072714
-50.0,50,17.18899
-41.0,50,17.310255
-50.0,50,17.427731
-50.0,50,17.549102
-50.0,50,17.667938
-50.0,50,17.787479
-50.0,50,17.910337
-50.0,50,18.030344
-50.0,50,18.14552
-50.0,50,18.264528
-50.0,50,18.382365
-50.0,50,18.503064
-50.0,50,18.623231
-47.0,50,20.016767
-50.0,50,20.130077
-45.0,50,20.245248
-49.0,50,20.359421
-49.0,50,20.478637
-50.0,50,20.59589
-50.0,50,20.715031
-50.0,50,20.828351
-50.0,50,20.942316
-50.0,50,21.055097
-50.0,50,21.1674
-50.0,50,21.279823
-50.0,50,21.396324
-50.0,50,21.51181
-50.0,50,21.625004
-50.0,50,21.741044
-50.0,50,21.855094
-48.0,50,21.970304
-50.0,50,22.087206
-50.0,50,22.215813
-49.0,50,22.329385
-50.0,50,22.443763
-50.0,50,22.560479
-50.0,50,22.674335
-50.0,50,22.788807
-50.0,50,22.907268
-50.0,50,23.022746
-48.0,50,23.138409
-48.0,50,23.25201
-50.0,50,23.365505
-50.0,50,23.482752
-50.0,50,23.598246
-50.0,50,23.71545
-50.0,50,23.828789
-50.0,50,23.944037
-47.0,50,24.060456
-50.0,50,24.179501
-50.0,50,24.295371
-50.0,50,24.413115
-50.0,50,24.528034
-50.0,50,24.640006
-50.0,50,25.951409
-50.0,50,26.066893
-50.0,50,26.18326
-50.0,50,26.298903
-50.0,50,26.412858
-50.0,50,26.527736
-50.0,50,26.64426
-50.0,50,26.761348
-50.0,50,26.876013
-47.0,50,26.990266
-48.0,50,27.102115
-50.0,50,27.217604
-48.0,50,27.337725
-50.0,50,27.451336
-45.0,50,27.564316
-50.0,50,27.681513
-50.0,50,27.79355
-50.0,50,27.905579
-49.0,50,28.021814
-50.0,50,28.136209
-48.0,50,28.252223
-50.0,50,28.365399
-50.0,50,28.479362
-49.0,50,28.599496
-46.0,50,28.71346
-50.0,50,28.829559
-50.0,50,28.942689
-50.0,50,29.054873
-50.0,50,29.168794
-50.0,50,29.283291
-50.0,50,29.394348
-50.0,50,29.506989
-49.0,50,29.620365
-50.0,50,29.734554
-50.0,50,29.851966
-50.0,50,29.968346
-50.0,50,30.086837
-50.0,50,30.715269
-50.0,50,30.830794
-50.0,50,30.948351
-41.0,50,31.061753
-50.0,50,32.430856
-50.0,50,32.546571
-50.0,50,32.65907
-50.0,50,32.773872
-50.0,50,32.888743
-50.0,50,33.000236
-49.0,50,33.116132
-50.0,50,33.229572
-50.0,50,33.34264
-50.0,50,33.45576
-50.0,50,33.568252
-50.0,50,33.684154
-50.0,50,33.79634
-50.0,50,33.909689
-50.0,50,34.025147
-50.0,50,34.137603
-50.0,50,34.252597
-50.0,50,34.364881
-50.0,50,34.477312
-50.0,50,34.590653
-50.0,50,34.701655
-50.0,50,34.820128
-50.0,50,34.938533
-50.0,50,35.051121
-50.0,50,35.172179
-50.0,50,35.285553
-50.0,50,35.396141
-50.0,50,35.512669
-50.0,50,35.623662
-50.0,50,35.737528
-50.0,50,35.849096
-50.0,50,35.962837
-50.0,50,36.075679
-50.0,50,36.185479
-50.0,50,36.305073
-50.0,50,36.423083
-49.0,50,36.533841
-49.0,50,36.64393
-50.0,50,36.754482
-50.0,50,36.871089
-50.0,50,36.984312
-50.0,50,38.354292
-50.0,50,38.469597
-45.0,50,38.584109
-50.0,50,38.694897
-50.0,50,38.806759
-50.0,50,38.920212
-50.0,50,39.035261
-50.0,50,39.148819
-46.0,50,39.264126
-50.0,50,39.374975
-50.0,50,39.487479
-50.0,50,39.601841
-47.0,50,39.713655
-49.0,50,39.824661
-50.0,50,39.937166
-47.0,50,40.049325
-50.0,50,40.164234
-50.0,50,40.275847
-47.0,50,40.387913
-50.0,50,40.498461
-43.0,50,40.613509
-50.0,50,40.724133
-48.0,50,40.835566
-50.0,50,40.949492
-50.0,50,41.061343
-50.0,50,41.173936
-50.0,50,41.288488
-50.0,50,41.39916
-47.0,50,41.515144
-50.0,50,41.626981
-50.0,50,41.739063
-50.0,50,41.852991
-50.0,50,41.968066
-50.0,50,42.082588
-50.0,50,42.19599
-50.0,50,42.311654
-50.0,50,42.426706
-50.0,50,42.54214
-50.0,50,42.65898
-50.0,50,42.772379
-49.0,50,42.883621
-50.0,50,44.252388
-50.0,50,44.368515
-50.0,50,44.479948
-50.0,50,44.592331
-50.0,50,44.708457
-50.0,50,44.823683
-50.0,50,44.935326
-50.0,50,45.057546
-50.0,50,45.178134
-48.0,50,45.297183
-50.0,50,45.411525
-44.0,50,45.52423
-47.0,50,45.634565
-50.0,50,45.746281
-50.0,50,45.865125
-50.0,50,45.978967
-50.0,50,46.094774
-48.0,50,46.207556
-50.0,50,46.330647
-50.0,50,46.441758
-50.0,50,46.555542
-50.0,50,46.667922
-50.0,50,46.782171
-50.0,50,46.899304
-50.0,50,47.010461
-50.0,50,47.123655
-50.0,50,47.238302
-50.0,50,47.351992
-50.0,50,47.463389
-50.0,50,47.585322
-50.0,50,47.698826
-50.0,50,47.814909
-50.0,50,47.925258
-50.0,50,48.039642
-46.0,50,48.152246
-50.0,50,48.262816
-50.0,50,48.376335
-50.0,50,48.488033
-50.0,50,48.601195
-50.0,50,48.712154
-50.0,50,48.825318
-50.0,50,50.185937
-50.0,50,50.297708
-50.0,50,50.409807
-50.0,50,50.522646
-50.0,50,50.636789
-50.0,50,50.749627
-50.0,50,50.863058
-50.0,50,50.977823
-50.0,50,51.089776
-50.0,50,51.201024
-50.0,50,51.3132
-50.0,50,51.423327
-50.0,50,51.533616
-48.0,50,51.644248
-50.0,50,51.756143
-50.0,50,51.868499
-50.0,50,51.983067
-50.0,50,52.099861
-50.0,50,52.216434
-50.0,50,52.330337
-50.0,50,52.442325
-49.0,50,52.55432
-50.0,50,52.666135
-50.0,50,52.776192
-50.0,50,52.890845
-50.0,50,53.005991
-50.0,50,53.118051
-50.0,50,53.22926
-50.0,50,53.340952
-50.0,50,53.456616
-50.0,50,53.567642
-50.0,50,53.678508
-50.0,50,53.791892
-50.0,50,53.903827
-41.0,50,54.018826
-50.0,50,54.131526
-50.0,50,54.244174
-50.0,50,54.358374
-50.0,50,54.470477
-50.0,50,54.580246
-50.0,50,54.691957
-45.0,50,56.050778
-46.0,50,56.164265
-50.0,50,56.278755
-46.0,50,56.390378
-50.0,50,56.503084
-50.0,50,56.615379
-50.0,50,56.727436
-50.0,50,56.838352
-47.0,50,56.950044
-50.0,50,57.060379
-50.0,50,57.177976
-50.0,50,57.2919
-50.0,50,57.402465
-50.0,50,57.517498
-50.0,50,57.628174
-50.0,50,57.740602
-47.0,50,57.855336
-50.0,50,57.965018
-50.0,50,58.077166
-50.0,50,58.189398
-50.0,50,58.299706
-50.0,50,58.417151
-50.0,50,58.531442
-50.0,50,58.64588
-50.0,50,58.760916
-50.0,50,58.874393
-50.0,50,58.985145
-50.0,50,59.099333
-50.0,50,59.211002
-50.0,50,59.321671
-47.0,50,59.433425
-50.0,50,59.544377
-50.0,50,60.131228
-50.0,50,60.245807
-50.0,50,60.361367
-50.0,50,60.473427
-50.0,50,60.584946
-50.0,50,60.695281
-50.0,50,60.806224
-50.0,50,60.91768
-45.0,50,61.029427
-49.0,50,62.390317
-50.0,50,62.503609
-50.0,50,62.623173
-50.0,50,62.7363
-50.0,50,62.850161
-50.0,50,62.967801
-48.0,50,63.08649
-50.0,50,63.199601
-50.0,50,63.318271
-50.0,50,63.43315
-50.0,50,63.544949
-50.0,50,63.657695
-50.0,50,63.769756
-50.0,50,63.886091
-50.0,50,63.997625
-50.0,50,64.108071
-50.0,50,64.219944
-47.0,50,64.333087
-50.0,50,64.44559
-47.0,50,64.558049
-50.0,50,64.669347
-50.0,50,64.783443
-50.0,50,64.898908
-50.0,50,65.011998
-50.0,50,65.122844
-50.0,50,65.235624
-50.0,50,65.357589
-50.0,50,65.472028
-50.0,50,65.583254
-50.0,50,65.69894
-50.0,50,65.816664
-46.0,50,65.932353
-50.0,50,66.045576
-50.0,50,66.166711
-50.0,50,66.280442
-50.0,50,66.399755
-50.0,50,66.512868
-50.0,50,66.63017
-50.0,50,66.744033
-49.0,50,66.855818
-50.0,50,66.977026
-50.0,50,68.372468
-50.0,50,68.485198
-50.0,50,68.597736
-50.0,50,68.712351
-50.0,50,68.82456
-50.0,50,68.93569
-50.0,50,69.056065
-50.0,50,69.17286
-50.0,50,69.28589
-50.0,50,69.402385
-50.0,50,69.512785
-50.0,50,69.623856
-50.0,50,69.738715
-50.0,50,69.851551
-50.0,50,69.965216
-50.0,50,70.075494
-50.0,50,70.189288
-50.0,50,70.304568
-50.0,50,70.420178
-50.0,50,70.533839
-50.0,50,70.646191
-50.0,50,70.759924
-48.0,50,70.870985
-50.0,50,70.983715
-50.0,50,71.096714
-50.0,50,71.211462
-50.0,50,71.327744
-50.0,50,71.440896
-50.0,50,71.555585
-43.0,50,71.67145
-44.0,50,71.782139
-40.0,50,71.894727
-50.0,50,72.00951
-50.0,50,72.119186
-50.0,50,72.230374
-50.0,50,72.345968
-50.0,50,72.458861
-50.0,50,72.573128
-50.0,50,72.686225
-50.0,50,72.798039
-48.0,50,72.909045
-50.0,50,74.230231
-49.0,50,74.342371
-50.0,50,74.458445
-50.0,50,74.570244
-50.0,50,74.684396
-50.0,50,74.804546
-50.0,50,74.920321
-50.0,50,75.036254
-50.0,50,75.152776
-46.0,50,75.265624
-50.0,50,75.378061
-38.0,50,75.496024
-50.0,50,75.611931
-50.0,50,75.722866
-50.0,50,75.845143
-50.0,50,75.958895
-50.0,50,76.07033
-50.0,50,76.185509
-47.0,50,76.296863
-50.0,50,76.410743
-47.0,50,76.521509
-50.0,50,76.637312
-50.0,50,76.75067
-50.0,50,76.867132
-50.0,50,76.98051
-50.0,50,77.092245
-50.0,50,77.203717
-50.0,50,77.319301
-41.0,50,77.43206
-50.0,50,77.545391
-28.0,50,77.661313
-50.0,50,77.784064
-50.0,50,77.896787
-50.0,50,78.011693
-50.0,50,78.125883
-48.0,50,78.237498
-50.0,50,78.35094
-50.0,50,78.462191
-50.0,50,78.575311
-50.0,50,78.690974
-49.0,50,78.806227
-46.0,50,80.123374
-47.0,50,80.23792
-49.0,50,80.353605
-50.0,50,80.465661
-50.0,50,80.580213
-50.0,50,80.696702
-44.0,50,80.811296
-50.0,50,80.923232
-50.0,50,81.034707
-49.0,50,81.150071
-46.0,50,81.262736
-50.0,50,81.376318
-48.0,50,81.486927
-50.0,50,81.599093
-50.0,50,81.718073
-50.0,50,81.829535
-50.0,50,81.943042
-50.0,50,82.056212
-50.0,50,82.170431
-50.0,50,82.280968
-49.0,50,82.392825
-50.0,50,82.5065
-50.0,50,82.618996
-50.0,50,82.72997
-50.0,50,82.84714
-42.0,50,82.960938
-50.0,50,83.071101
-47.0,50,83.183806
-50.0,50,83.303439
-48.0,50,83.417376
-50.0,50,83.528927
-50.0,50,83.640198
-50.0,50,83.752449
-49.0,50,83.870865
-50.0,50,83.98244
-50.0,50,84.095062
-50.0,50,84.2092
-50.0,50,84.323235
-45.0,50,84.437404
-50.0,50,84.548973
-50.0,50,84.663096
-50.0,50,85.960675
-46.0,50,86.072398
-50.0,50,86.194026
-50.0,50,86.312234
-50.0,50,86.429635
-50.0,50,86.543934
-50.0,50,86.659759
-50.0,50,86.772898
-50.0,50,86.887218
-48.0,50,87.001321
-50.0,50,87.116093
-50.0,50,87.231522
-50.0,50,87.346385
-50.0,50,87.464181
-50.0,50,87.581184
-46.0,50,87.696969
-50.0,50,87.810703
-50.0,50,87.925154
-49.0,50,88.0401
-46.0,50,88.152519
-50.0,50,88.264954
-50.0,50,88.3854
-50.0,50,88.502357
-50.0,50,88.626477
-50.0,50,88.744617
-50.0,50,88.861585
-50.0,50,88.984158
-49.0,50,89.588746
-50.0,50,89.7031
-50.0,50,89.824669
-50.0,50,89.942766
-50.0,50,90.058446
-50.0,50,90.173203
-50.0,50,90.288317
-50.0,50,90.398485
-50.0,50,90.511247
-49.0,50,90.628052
-50.0,50,90.742374
-50.0,50,90.857063
-50.0,50,90.972767
-50.0,50,91.087229
-50.0,50,92.399743
-50.0,50,92.511124
-50.0,50,92.623623
-50.0,50,92.738098
-50.0,50,92.851062
-46.0,50,92.965198
-50.0,50,93.076457
-50.0,50,93.191583
-47.0,50,93.306607
-50.0,50,93.429292
-50.0,50,93.540788
-50.0,50,93.654794
-50.0,50,93.767709
-50.0,50,93.882365
-50.0,50,93.998488
-50.0,50,94.117404
-50.0,50,94.23345
-42.0,50,94.344342
-50.0,50,94.457422
-50.0,50,94.568934
-50.0,50,94.684647
-50.0,50,94.802227
-50.0,50,94.916751
-50.0,50,95.030571
-47.0,50,95.145847
-50.0,50,95.256088
-50.0,50,95.372368
-43.0,50,95.485238
-50.0,50,95.597025
-50.0,50,95.709113
-47.0,50,95.822041
-50.0,50,95.937421
-50.0,50,96.052965
-50.0,50,96.169717
-50.0,50,96.284534
-50.0,50,96.398156
-50.0,50,96.512751
-50.0,50,96.627428
-50.0,50,96.741912
-50.0,50,96.856983
-49.0,50,96.970506
-50.0,50,98.270463
-46.0,50,98.38432
-50.0,50,98.498003
-50.0,50,98.611655
-50.0,50,98.726596
-50.0,50,98.838339
-50.0,50,98.952305
-50.0,50,99.065172
-50.0,50,99.179495
-50.0,50,99.292962
-50.0,50,99.408029
-50.0,50,99.527405
-50.0,50,99.64016
-50.0,50,99.760948
-50.0,50,99.875513
-50.0,50,99.988071
-50.0,50,100.111062
-50.0,50,100.226321
-50.0,50,100.342348
-50.0,50,100.45368
-50.0,50,100.566739
-50.0,50,100.680068
-46.0,50,100.795426
-50.0,50,100.91313
-50.0,50,101.02856
-50.0,50,101.140951
-50.0,50,101.255809
-50.0,50,101.370451
-50.0,50,101.484625
-50.0,50,101.599787
-49.0,50,101.719656
-50.0,50,101.83937
-50.0,50,101.951596
-49.0,50,102.067225
-50.0,50,102.182493
-50.0,50,102.294579
-50.0,50,102.410428
-50.0,50,102.526326
-50.0,50,102.64069
-50.0,50,102.753009
-50.0,50,102.872695
-50.0,50,104.17989
-50.0,50,104.292865
-50.0,50,104.40756
-50.0,50,104.519819
-50.0,50,104.632252
-50.0,50,104.745475
-50.0,50,104.85814
-46.0,50,104.972229
-50.0,50,105.087442
-50.0,50,105.204609
-50.0,50,105.321239
-50.0,50,105.437967
-50.0,50,105.550869
-50.0,50,105.664313
-50.0,50,105.77574
-50.0,50,105.88959
-49.0,50,106.002082
-50.0,50,106.117129
-50.0,50,106.229356
-47.0,50,106.342388
-40.0,50,106.459411
-50.0,50,106.571425
-50.0,50,106.682001
-46.0,50,106.793193
-50.0,50,106.906663
-50.0,50,107.017416
-49.0,50,107.134208
-49.0,50,107.245216
-50.0,50,107.358392
-50.0,50,107.471695
-50.0,50,107.582892
-50.0,50,107.697376
-50.0,50,107.810311
-50.0,50,107.926083
-48.0,50,108.042785
-50.0,50,108.161152
-50.0,50,108.27715
-50.0,50,108.391584
-50.0,50,108.506344
-50.0,50,108.619617
-48.0,50,108.730807
-50.0,50,110.021131
-50.0,50,110.134212
-50.0,50,110.248829
-50.0,50,110.362928
-50.0,50,110.476351
-50.0,50,110.589038
-50.0,50,110.699031
-50.0,50,110.813327
-50.0,50,110.930089
-50.0,50,111.040616
-50.0,50,111.15347
-50.0,50,111.269908
-50.0,50,111.382878
-48.0,50,111.496139
-50.0,50,111.60936
-50.0,50,111.719562
-50.0,50,111.843806
-50.0,50,111.962699
-50.0,50,112.073377
-50.0,50,112.191568
-50.0,50,112.303093
-50.0,50,112.414293
-50.0,50,112.527805
-50.0,50,112.639914
-50.0,50,112.755507
-50.0,50,112.86704
-50.0,50,112.98236
-50.0,50,113.096563
-50.0,50,113.215671
-50.0,50,113.332541
-50.0,50,113.448121
-48.0,50,113.560906
-49.0,50,113.674733
-50.0,50,113.791192
-49.0,50,113.910852
-50.0,50,114.030005
-48.0,50,114.144402
-50.0,50,114.256629
-50.0,50,114.369742
-50.0,50,114.4828
-50.0,50,114.593823
-47.0,50,115.890427
-50.0,50,116.008799
-50.0,50,116.125559
-46.0,50,116.2459
-50.0,50,116.358916
-50.0,50,116.476481
-50.0,50,116.59213
-50.0,50,116.710368
-50.0,50,116.826056
-50.0,50,116.938674
-50.0,50,117.054129
-50.0,50,117.167164
-50.0,50,117.282096
-50.0,50,117.400002
-50.0,50,117.516983
-50.0,50,117.630899
-50.0,50,117.747929
-50.0,50,117.860614
-50.0,50,117.975351
-50.0,50,118.091464
-49.0,50,118.202195
-36.0,50,118.317878
-50.0,50,118.92075
-50.0,50,119.035117
-50.0,50,119.150582
-50.0,50,119.264716
-50.0,50,119.376986
-50.0,50,119.489856
-50.0,50,119.604162
-50.0,50,119.716902
-50.0,50,119.834751
-50.0,50,119.946523
-47.0,50,120.062408
-49.0,50,120.181479
-50.0,50,120.293074
-49.0,50,120.405773
-50.0,50,120.519405
-50.0,50,120.640089
-50.0,50,120.752286
-50.0,50,120.868278
-50.0,50,120.983349
-50.0,50,122.278151
-50.0,50,122.394422
-50.0,50,122.519017
-46.0,50,122.632742
-50.0,50,122.747393
-50.0,50,122.858603
-50.0,50,122.974747
-50.0,50,123.086518
-50.0,50,123.198861
-50.0,50,123.310502
-50.0,50,123.422264
-50.0,50,123.543248
-50.0,50,123.659577
-50.0,50,123.775661
-49.0,50,123.891102
-50.0,50,124.007664
-50.0,50,124.121533
-50.0,50,124.232946
-49.0,50,124.350086
-50.0,50,124.463023
-50.0,50,124.57909
-50.0,50,124.692123
-50.0,50,124.808639
-50.0,50,124.922556
-45.0,50,125.035341
-50.0,50,125.159316
-49.0,50,125.271685
-50.0,50,125.385352
-50.0,50,125.505161
-50.0,50,125.623179
-50.0,50,125.737462
-50.0,50,125.850097
-50.0,50,125.963527
-47.0,50,126.081398
-50.0,50,126.19325
-50.0,50,126.315579
-46.0,50,126.433702
-50.0,50,126.550216
-50.0,50,126.666416
-50.0,50,126.78081
-50.0,50,126.896714
-50.0,50,128.18767
-50.0,50,128.300589
-50.0,50,128.415777
-50.0,50,128.529098
-50.0,50,128.64274
-50.0,50,128.754323
-50.0,50,128.866966
-50.0,50,128.982124
-50.0,50,129.095891
-50.0,50,129.210227
-50.0,50,129.326298
-50.0,50,129.440155
-50.0,50,129.554349
-50.0,50,129.669274
-50.0,50,129.784348
-43.0,50,129.896836
-50.0,50,130.010599
-50.0,50,130.124185
-50.0,50,130.235258
-50.0,50,130.352014
-50.0,50,130.462789
-46.0,50,130.576377
-50.0,50,130.688326
-50.0,50,130.8005
-50.0,50,130.915901
-50.0,50,131.029769
-50.0,50,131.143354
-50.0,50,131.260273
-50.0,50,131.372363
-45.0,50,131.487045
-41.0,50,131.60131
-40.0,50,131.714083
-50.0,50,131.826111
-50.0,50,131.942941
-50.0,50,132.057638
-50.0,50,132.171032
-50.0,50,132.288036
-50.0,50,132.400004
-50.0,50,132.515393
-50.0,50,132.6436
-50.0,50,132.757271
-50.0,50,134.044149
-50.0,50,134.157943
-50.0,50,134.277592
-50.0,50,134.395436
-50.0,50,134.506464
-50.0,50,134.619192
-50.0,50,134.734389
-50.0,50,134.850071
-50.0,50,134.960894
-50.0,50,135.072646
-50.0,50,135.186501
-50.0,50,135.299422
-50.0,50,135.416319
-45.0,50,135.528962
-50.0,50,135.640325
-50.0,50,135.760826
-45.0,50,135.877758
-50.0,50,135.991726
-50.0,50,136.104957
-50.0,50,136.220936
-50.0,50,136.332926
-50.0,50,136.446909
-49.0,50,136.558157
-50.0,50,136.673724
-50.0,50,136.785018
-50.0,50,136.898952
-50.0,50,137.008684
-50.0,50,137.121556
-50.0,50,137.242473
-50.0,50,137.359756
-49.0,50,137.475256
-50.0,50,137.584907
-50.0,50,137.697766
-48.0,50,137.808117
-50.0,50,137.923179
-50.0,50,138.035708
-50.0,50,138.145606
-46.0,50,138.256544
-50.0,50,138.369626
-50.0,50,138.481988
-50.0,50,138.594645
-50.0,50,139.910012
-50.0,50,140.024724
-50.0,50,140.138049
-50.0,50,140.250919
-48.0,50,140.362933
-50.0,50,140.475693
-50.0,50,140.591785
-50.0,50,140.703032
-50.0,50,140.816886
-50.0,50,140.928242
-50.0,50,141.041595
-50.0,50,141.152823
-50.0,50,141.265125
-50.0,50,141.38614
-50.0,50,141.499646
-45.0,50,141.612298
-50.0,50,141.726834
-46.0,50,141.838556
-50.0,50,141.94962
-50.0,50,142.060648
-50.0,50,142.17304
-50.0,50,142.292661
-50.0,50,142.408967
-50.0,50,142.522638
-50.0,50,142.633329
-44.0,50,142.745511
-50.0,50,142.857249
-50.0,50,142.973593
-50.0,50,143.085466
-50.0,50,143.197464
-50.0,50,143.308735
-49.0,50,143.428435
-50.0,50,143.540407
-44.0,50,143.652946
-50.0,50,143.763987
-50.0,50,143.877214
-50.0,50,143.988728
-49.0,50,144.10558
-50.0,50,144.221745
-49.0,50,144.339762
-50.0,50,144.453802
-50.0,50,145.7606
-50.0,50,145.872411
-50.0,50,145.985891
-50.0,50,146.099459
-50.0,50,146.211103
-50.0,50,146.325137
-50.0,50,146.440274
-50.0,50,146.556526
-50.0,50,146.671283
-45.0,50,146.783781
-50.0,50,146.899117
-50.0,50,147.013408
-50.0,50,147.126211
-49.0,50,147.237905
-47.0,50,147.354627
-50.0,50,147.465806
-50.0,50,147.578021
-50.0,50,148.160819
-50.0,50,148.272025
-50.0,50,148.386589
-50.0,50,148.497883
-50.0,50,148.613745
-50.0,50,148.728052
-50.0,50,148.841816
-50.0,50,148.955778
-46.0,50,149.069616
-50.0,50,149.182478
-49.0,50,149.294279
-50.0,50,149.406381
-49.0,50,149.519451
-50.0,50,149.633457
-50.0,50,149.744806
-49.0,50,149.856735
-46.0,50,149.972869
-31.0,50,150.086957
-49.0,50,150.198311
-50.0,50,150.311496
-50.0,50,150.426533
-50.0,50,150.54209
-50.0,50,150.662702
-49.0,50,150.779237
-50.0,50,152.141252
-50.0,50,152.259479
-50.0,50,152.373943
-50.0,50,152.490975
-50.0,50,152.604279
-50.0,50,152.722103
-50.0,50,152.833765
-50.0,50,152.949128
-50.0,50,153.06296
-50.0,50,153.176297
-50.0,50,153.290798
-50.0,50,153.407484
-50.0,50,153.517918
-50.0,50,153.632533
-43.0,50,153.745381
-50.0,50,153.857236
-50.0,50,153.972557
-50.0,50,154.085622
-50.0,50,154.201958
-50.0,50,154.313396
-50.0,50,154.431663
-44.0,50,154.546325
-50.0,50,154.663287
-50.0,50,154.776688
-48.0,50,154.88936
-50.0,50,155.004108
-46.0,50,155.124153
-50.0,50,155.236842
-50.0,50,155.351781
-50.0,50,155.46861
-50.0,50,155.585775
-50.0,50,155.696962
-50.0,50,155.810632
-50.0,50,155.922883
-50.0,50,156.034977
-50.0,50,156.147206
-50.0,50,156.259701
-50.0,50,156.37115
-50.0,50,156.482777
-50.0,50,156.597591
-50.0,50,157.947996
