#{"t_start": 1775963853.2924392, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,0.119052
-50.0,50,0.191577
-50.0,50,0.819281
-50.0,50,1.316096
-50.0,50,1.814784
-50.0,50,2.311158
-50.0,50,2.834496
-50.0,50,3.378987
-50.0,50,3.913955
-50.0,50,4.41913
-50.0,50,4.926792
-50.0,50,5.441082
-50.0,50,5.951811
-50.0,50,6.448744
-50.0,50,6.944351
-50.0,50,7.443033
-50.0,50,7.941896
-50.0,50,8.447768
-50.0,50,8.963468
-50.0,50,9.48423
-49.0,50,10.026711
-50.0,50,10.542418
-48.0,50,11.055739
-50.0,50,11.569393
-50.0,50,12.087775
-50.0,50,12.607936
-50.0,50,13.122862
-50.0,50,13.643644
-50.0,50,14.165231
-50.0,50,14.686766
-33.0,50,15.215744
-50.0,50,15.738265
-50.0,50,16.259598
-50.0,50,16.777629
-50.0,50,17.29374
-44.0,50,17.793499
-50.0,50,18.298725
-50.0,50,18.807255
-50.0,50,19.30297
-49.0,50,19.797686
-50.0,50,20.299766
-50.0,50,20.793981
-50.0,50,21.317145
-50.0,50,21.815676
-50.0,50,22.323935
-50.0,50,22.827615
-50.0,50,23.328182
-50.0,50,23.833293
-50.0,50,24.335449
-48.0,50,24.84426
-50.0,50,25.3588
-50.0,50,25.865911
-50.0,50,26.378927
-50.0,50,26.886709
-50.0,50,27.394249
-50.0,50,27.913924
-50.0,50,28.450481
-50.0,50,28.972627
-50.0,50,29.48938
-50.0,50,30.009679
-50.0,50,30.531906
-50.0,50,31.05308
-50.0,50,31.57282
-50.0,50,32.095683
-50.0,50,32.622076
-50.0,50,33.137344
-50.0,50,33.651485
-45.0,50,34.170152
-50.0,50,34.710942
-50.0,50,35.238851
-50.0,50,35.755422
-50.0,50,36.269711
-50.0,50,36.797831
-50.0,50,37.332357
-50.0,50,37.853543
-50.0,50,38.375574
-50.0,50,38.900226
-47.0,50,39.421
-50.0,50,39.943121
-50.0,50,40.464464
-50.0,50,40.990776
-50.0,50,41.511976
-49.0,50,42.03153
-50.0,50,42.551436
-50.0,50,43.080612
-50.0,50,43.602365
-50.0,50,44.137522
-47.0,50,44.659548
-48.0,50,45.186928
-50.0,50,45.705797
-50.0,50,46.224424
-50.0,50,46.745758
-50.0,50,47.268274
-49.0,50,47.788109
-47.0,50,48.310352
-50.0,50,48.846484
-50.0,50,49.378892
-50.0,50,49.910235
-50.0,50,50.428925
-49.0,50,50.950393
-50.0,50,51.472148
-49.0,50,51.994538
-50.0,50,52.520208
-50.0,50,53.049318
-50.0,50,53.584572
-50.0,50,54.113655
-50.0,50,54.640588
-50.0,50,55.168134
-50.0,50,55.69384
-50.0,50,56.239869
-50.0,50,56.760078
-50.0,50,57.320373
-50.0,50,57.861504
-50.0,50,58.381255
-50.0,50,58.917975
-50.0,50,59.436925
-35.0,50,59.964991
-50.0,50,60.490869
-50.0,50,61.013356
-50.0,50,61.540736
-43.0,50,62.066333
-50.0,50,62.57645
-50.0,50,63.084141
-50.0,50,63.598338
-49.0,50,64.120667
-50.0,50,64.638744
-45.0,50,65.14839
-50.0,50,65.657794
-49.0,50,66.174671
-50.0,50,66.682692
-50.0,50,67.190655
-46.0,50,67.700107
-50.0,50,68.211465
-50.0,50,68.720165
-50.0,50,69.238257
-50.0,50,69.752879
-50.0,50,70.263418
-49.0,50,70.776279
-50.0,50,71.303963
-50.0,50,71.863669
-38.0,50,72.398744
-47.0,50,72.923966
-43.0,50,73.453168
-50.0,50,73.975111
-50.0,50,74.507728
-50.0,50,75.04032
-50.0,50,75.567232
-50.0,50,76.099968
-50.0,50,76.632294
-50.0,50,77.161777
-46.0,50,77.691595
-50.0,50,78.216212
-50.0,50,78.736467
-50.0,50,79.243174
-50.0,50,79.759206
-50.0,50,80.276378
-48.0,50,80.796272
-49.0,50,81.30899
-50.0,50,81.822792
-50.0,50,82.335923
-49.0,50,82.855524
-49.0,50,83.362815
-50.0,50,83.881326
-50.0,50,84.391633
-50.0,50,84.905897
-50.0,50,85.411243
-35.0,50,85.934517
-50.0,50,86.46941
-44.0,50,87.021473
-50.0,50,87.573185
-44.0,50,88.101171
-50.0,50,88.634378
-50.0,50,89.168173
-50.0,50,89.695799
-50.0,50,90.232222
-50.0,50,90.772674
-50.0,50,91.300736
-50.0,50,91.837616
-50.0,50,92.370847
-50.0,50,92.905447
-50.0,50,93.445957
-50.0,50,93.966703
-50.0,50,94.492414
-47.0,50,95.007598
-50.0,50,95.531676
-50.0,50,96.050924
-50.0,50,96.56908
-50.0,50,97.089758
-50.0,50,97.611524
-50.0,50,98.125869
-48.0,50,98.665206
-48.0,50,99.197664
-50.0,50,99.737812
