#{"t_start": 1775966359.4315364, "env_id": "FetchReach-v4"}
r,l,t
-46.0,50,1.653937
-50.0,50,1.773479
-50.0,50,1.891536
-50.0,50,2.008688
-50.0,50,2.119195
-50.0,50,2.230677
-38.0,50,2.352078
-50.0,50,2.469193
-50.0,50,2.583335
-49.0,50,2.700038
-50.0,50,2.815769
-50.0,50,2.939163
-50.0,50,3.064696
-50.0,50,3.184084
-50.0,50,3.30389
-50.0,50,3.418058
-43.0,50,3.529483
-50.0,50,3.644496
-50.0,50,3.761835
-50.0,50,3.877757
-50.0,50,3.990226
-50.0,50,4.104963
-50.0,50,4.221214
-46.0,50,4.332282
-50.0,50,4.449281
-50.0,50,4.560278
-50.0,50,4.674284
-50.0,50,4.793028
-50.0,50,4.905313
-50.0,50,5.016497
-50.0,50,5.131503
-50.0,50,5.248486
-50.0,50,5.361652
-50.0,50,5.47997
-50.0,50,5.594839
-50.0,50,5.712531
-50.0,50,5.830711
-41.0,50,5.943779
-46.0,50,6.057951
-50.0,50,6.176398
-50.0,50,7.722566
-50.0,50,7.836502
-50.0,50,7.95002
-50.0,50,8.063863
-50.0,50,8.174467
-50.0,50,8.283727
-50.0,50,8.397002
-50.0,50,8.511291
-50.0,50,8.627792
-50.0,50,8.741622
-50.0,50,8.8555
-49.0,50,8.971701
-50.0,50,9.085689
-48.0,50,9.205269
-50.0,50,9.325138
-50.0,50,9.439626
-50.0,50,9.549995
-50.0,50,9.661247
-50.0,50,9.775675
-50.0,50,9.885331
-50.0,50,10.004245
-50.0,50,10.126786
-50.0,50,10.244461
-50.0,50,10.358292
-50.0,50,10.468945
-50.0,50,10.578264
-48.0,50,10.691468
-50.0,50,10.801959
-50.0,50,10.915984
-50.0,50,11.028537
-49.0,50,11.138707
-50.0,50,11.250402
-50.0,50,11.371006
-50.0,50,11.486236
-50.0,50,11.59682
-50.0,50,11.710626
-50.0,50,11.827631
-50.0,50,11.93719
-50.0,50,12.046672
-50.0,50,12.15785
-50.0,50,12.267406
-40.0,50,13.656703
-50.0,50,13.76689
-50.0,50,13.880744
-50.0,50,13.993495
-50.0,50,14.109826
-50.0,50,14.23177
-50.0,50,14.355722
-50.0,50,14.474803
-50.0,50,14.585229
-50.0,50,14.695995
