#{"t_start": 1775970332.082854, "env_id": "FetchReach-v4"}
r,l,t
-45.0,50,0.149662
-49.0,50,0.26023
-49.0,50,0.37571
-50.0,50,0.487844
-50.0,50,0.598058
-45.0,50,0.711685
-50.0,50,0.822477
-44.0,50,0.934088
-50.0,50,1.044817
-43.0,50,1.157911
-50.0,50,1.269725
-50.0,50,1.391043
-50.0,50,1.510459
-50.0,50,1.62268
-50.0,50,1.736369
-50.0,50,1.849274
-44.0,50,1.961575
-50.0,50,2.071708
-50.0,50,2.180152
-50.0,50,2.291482
-50.0,50,2.402147
-50.0,50,2.512593
-45.0,50,2.623461
-50.0,50,2.733757
-50.0,50,2.847767
-50.0,50,2.964592
-48.0,50,3.074738
-50.0,50,3.188147
-50.0,50,3.300198
-50.0,50,3.41121
-50.0,50,3.524949
-50.0,50,3.638509
-50.0,50,3.749293
-50.0,50,3.860754
-50.0,50,3.975145
-50.0,50,4.086699
-50.0,50,4.200515
-50.0,50,4.311784
-50.0,50,4.422559
-50.0,50,4.531999
-50.0,50,4.970064
-50.0,50,5.080009
-50.0,50,5.196803
-50.0,50,5.310269
-50.0,50,5.426596
-50.0,50,5.537972
-50.0,50,5.651699
-50.0,50,5.764938
-50.0,50,5.883023
-50.0,50,5.992568
-50.0,50,6.104761
-50.0,50,6.221182
-50.0,50,6.33184
-50.0,50,6.453336
-49.0,50,6.567263
-46.0,50,6.679007
-46.0,50,6.790911
-50.0,50,6.905787
-50.0,50,7.018936
-50.0,50,7.136101
-50.0,50,7.247056
-50.0,50,7.359778
-50.0,50,7.475492
-50.0,50,7.586724
-50.0,50,7.696557
-37.0,50,7.808698
-50.0,50,7.921428
-50.0,50,8.046212
-50.0,50,8.155645
-44.0,50,8.269577
-44.0,50,8.379402
-47.0,50,8.490475
-50.0,50,8.602169
-50.0,50,8.715893
-49.0,50,8.828167
-50.0,50,8.938901
-50.0,50,9.05217
-50.0,50,9.163804
-50.0,50,9.278064
-50.0,50,9.390772
-50.0,50,9.500315
-50.0,50,9.951788
-50.0,50,10.063321
-50.0,50,10.184368
-50.0,50,10.312787
-50.0,50,10.427845
-50.0,50,10.540107
-50.0,50,10.65102
-50.0,50,10.765971
-45.0,50,10.879889
-50.0,50,10.995337
-50.0,50,11.10574
-50.0,50,11.225136
-50.0,50,11.334987
-50.0,50,11.448864
-45.0,50,11.557824
-50.0,50,11.668725
-50.0,50,11.782903
-50.0,50,11.898251
-50.0,50,12.007493
-50.0,50,12.118772
-48.0,50,12.231194
-50.0,50,12.346924
-50.0,50,12.45839
-50.0,50,12.569451
-50.0,50,12.685838
-50.0,50,12.798965
-50.0,50,12.908477
-48.0,50,13.023318
-50.0,50,13.140609
-50.0,50,13.253828
-50.0,50,13.364501
-50.0,50,13.475057
-50.0,50,13.586306
-50.0,50,13.700328
-50.0,50,13.812476
-50.0,50,13.929321
-50.0,50,14.039873
-50.0,50,14.156841
-50.0,50,14.272527
-50.0,50,14.388623
-50.0,50,14.500923
-50.0,50,14.945848
-50.0,50,15.058971
-50.0,50,15.175133
-50.0,50,15.285012
-50.0,50,15.394364
-50.0,50,15.510788
-50.0,50,15.62059
-50.0,50,15.729842
-50.0,50,15.84527
-48.0,50,15.955334
-50.0,50,16.066463
-46.0,50,16.179221
-38.0,50,16.293417
-48.0,50,16.408102
