#{"t_start": 1775967236.1997368, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,0.117753
-50.0,50,0.193362
-50.0,50,0.711234
-50.0,50,1.201184
-50.0,50,1.687021
-29.0,50,2.172956
-50.0,50,2.66357
-50.0,50,3.155347
-50.0,50,3.653421
-50.0,50,4.141536
-50.0,50,4.6265
-50.0,50,5.131646
-50.0,50,5.624173
-50.0,50,6.1119
-50.0,50,6.5982
-48.0,50,7.086868
-50.0,50,7.57381
-50.0,50,8.070687
-50.0,50,8.567085
-50.0,50,9.069777
-50.0,50,9.570468
-50.0,50,10.063816
-50.0,50,10.552038
-50.0,50,11.038949
-50.0,50,11.529761
-50.0,50,12.013764
-41.0,50,12.501591
-50.0,50,12.995433
-50.0,50,13.489275
-50.0,50,13.991258
-50.0,50,14.476212
-50.0,50,14.965765
-50.0,50,15.452173
-50.0,50,15.94278
-44.0,50,16.432925
-50.0,50,16.927067
-50.0,50,17.417543
-41.0,50,17.906618
-50.0,50,18.393546
-50.0,50,18.879056
-49.0,50,19.369684
-48.0,50,19.85691
-50.0,50,20.344464
-50.0,50,20.833962
-50.0,50,21.331361
-50.0,50,21.832904
-50.0,50,22.330372
-50.0,50,22.828397
-50.0,50,23.327363
-50.0,50,23.817836
-50.0,50,24.30894
-50.0,50,24.795471
-50.0,50,25.295918
-50.0,50,25.806066
-47.0,50,26.320984
-50.0,50,26.830216
-50.0,50,27.343157
-50.0,50,27.852491
-50.0,50,28.356599
-50.0,50,28.863556
-50.0,50,29.371766
-50.0,50,29.876565
-50.0,50,30.385851
-50.0,50,30.890577
-50.0,50,31.39408
-50.0,50,31.900874
-50.0,50,32.430691
-50.0,50,32.934576
-50.0,50,33.449266
-50.0,50,33.95831
-50.0,50,34.462852
-50.0,50,34.965905
-47.0,50,35.469215
-50.0,50,35.969474
-50.0,50,36.46842
-50.0,50,36.967761
-50.0,50,37.464532
-50.0,50,37.961359
-50.0,50,38.455661
-44.0,50,38.946337
-50.0,50,39.434965
-49.0,50,39.928019
-50.0,50,40.426245
-50.0,50,40.919749
-49.0,50,41.413219
-50.0,50,41.899142
-49.0,50,42.386301
-50.0,50,42.875092
-50.0,50,43.375384
-50.0,50,43.874666
-50.0,50,44.376283
-47.0,50,44.874295
-50.0,50,45.374973
-50.0,50,45.868333
