#{"t_start": 1775971075.9140542, "env_id": "FetchReach-v4"}
r,l,t
-44.0,50,0.108257
-50.0,50,0.180901
-50.0,50,0.666299
-50.0,50,1.166615
-50.0,50,1.670273
-50.0,50,2.159317
-50.0,50,2.657767
-50.0,50,3.165588
-50.0,50,3.680293
-50.0,50,4.189552
-50.0,50,4.703242
-50.0,50,5.268538
-47.0,50,5.788459
-50.0,50,6.293406
-50.0,50,6.804606
-50.0,50,7.314328
-50.0,50,7.842936
-45.0,50,8.354933
-50.0,50,8.85695
-50.0,50,9.361795
-50.0,50,9.875458
-50.0,50,10.38062
-40.0,50,10.884274
-49.0,50,11.398305
-50.0,50,11.906316
-50.0,50,12.414206
-47.0,50,12.927063
-50.0,50,13.438188
-50.0,50,13.950823
-50.0,50,14.467868
-50.0,50,14.983388
-50.0,50,15.506545
-50.0,50,16.032068
-50.0,50,16.545908
-50.0,50,17.064051
-50.0,50,17.56758
-48.0,50,18.072607
-50.0,50,18.568826
-50.0,50,19.07054
-50.0,50,19.573361
-50.0,50,20.076533
-50.0,50,20.573003
-50.0,50,21.066631
-50.0,50,21.586369
-50.0,50,22.102193
-50.0,50,22.613903
-50.0,50,23.1359
-50.0,50,23.651147
-50.0,50,24.165211
-50.0,50,24.684685
-49.0,50,25.213721
-50.0,50,25.72055
-49.0,50,26.255493
-49.0,50,26.754566
-49.0,50,27.27696
-50.0,50,27.795906
-50.0,50,28.307293
-50.0,50,28.820581
-50.0,50,29.330645
-50.0,50,29.843118
-50.0,50,30.351323
-50.0,50,30.863202
-50.0,50,31.373771
-47.0,50,31.883425
-50.0,50,32.397988
-50.0,50,32.914597
-50.0,50,33.427747
-50.0,50,33.931206
-50.0,50,34.442091
-50.0,50,34.965308
-50.0,50,35.499449
-50.0,50,36.00847
-50.0,50,36.510145
-50.0,50,37.008727
-50.0,50,37.510493
-50.0,50,38.013266
-50.0,50,38.522635
-50.0,50,39.025663
-49.0,50,39.529523
-50.0,50,40.031284
-50.0,50,40.530885
-50.0,50,41.038431
-50.0,50,41.582342
-50.0,50,42.114798
-50.0,50,42.640531
-50.0,50,43.163436
-50.0,50,43.694893
-50.0,50,44.223585
-50.0,50,44.756223
-50.0,50,45.291884
-50.0,50,45.822734
-50.0,50,46.366053
-46.0,50,46.894107
-50.0,50,47.427594
-50.0,50,47.964129
-50.0,50,48.502152
-50.0,50,49.031271
-50.0,50,49.554785
-50.0,50,50.081603
-50.0,50,50.606074
-50.0,50,51.135874
-50.0,50,51.659915
-50.0,50,52.188942
-50.0,50,52.701901
-50.0,50,53.217114
-50.0,50,53.73613
-50.0,50,54.243535
-50.0,50,54.746403
-50.0,50,55.262712
-50.0,50,55.769717
-50.0,50,56.27965
-50.0,50,56.785781
-47.0,50,57.304143
-50.0,50,57.824388
-50.0,50,58.346938
-50.0,50,58.889324
-50.0,50,59.418764
-50.0,50,59.943557
-50.0,50,60.462005
-48.0,50,60.973696
-50.0,50,61.492481
-50.0,50,62.010029
-50.0,50,62.52904
-50.0,50,63.056492
-50.0,50,63.582499
-50.0,50,64.095632
-50.0,50,64.621947
-50.0,50,65.149843
-50.0,50,65.661633
-50.0,50,66.176061
-50.0,50,66.676247
-50.0,50,67.175424
-50.0,50,67.685861
-50.0,50,68.194379
-50.0,50,68.702624
-48.0,50,69.213687
-50.0,50,69.735962
-50.0,50,70.248783
-50.0,50,70.765655
-50.0,50,71.271508
-50.0,50,71.78055
-50.0,50,72.286364
-50.0,50,72.802088
-50.0,50,73.308432
-50.0,50,73.814592
-48.0,50,74.326877
-50.0,50,74.843393
-50.0,50,75.36134
-50.0,50,75.882051
-50.0,50,76.391311
-50.0,50,76.897428
-50.0,50,77.406126
-50.0,50,77.922267
-50.0,50,78.427763
-48.0,50,78.933193
-50.0,50,79.447234
-50.0,50,79.957398
-50.0,50,80.460294
-50.0,50,80.970655
-50.0,50,81.484756
-50.0,50,81.995203
-50.0,50,82.508582
-50.0,50,83.023275
-50.0,50,83.526888
-50.0,50,84.032681
-50.0,50,84.536285
-50.0,50,85.046717
-50.0,50,85.561078
-48.0,50,86.083312
-50.0,50,86.614115
-50.0,50,87.138314
-50.0,50,87.657923
-50.0,50,88.206959
-50.0,50,88.736434
-50.0,50,89.266891
-50.0,50,89.793284
-50.0,50,90.323669
-50.0,50,90.85165
-50.0,50,91.399841
-50.0,50,91.92495
-50.0,50,92.450563
-50.0,50,92.974249
-50.0,50,93.499316
-50.0,50,94.029389
-48.0,50,94.558171
-50.0,50,95.082588
-50.0,50,95.607777
-50.0,50,96.145911
-50.0,50,96.702465
-50.0,50,97.238521
-50.0,50,97.76953
-50.0,50,98.306725
-50.0,50,98.85271
-49.0,50,99.374595
-50.0,50,99.884345
-50.0,50,100.393937
-50.0,50,100.899572
-50.0,50,101.415275
-50.0,50,101.926122
-50.0,50,102.43371
-50.0,50,103.5006
-50.0,50,104.008515
-50.0,50,104.515679
-50.0,50,105.028043
-50.0,50,105.536796
-50.0,50,106.050642
-50.0,50,106.56986
-50.0,50,107.080726
-50.0,50,107.595189
-50.0,50,108.111684
-50.0,50,108.628803
-50.0,50,109.140398
-50.0,50,109.654658
-50.0,50,110.163014
-50.0,50,110.673636
-50.0,50,111.184848
-49.0,50,111.697113
-50.0,50,112.205084
-50.0,50,112.724553
-50.0,50,113.231395
-50.0,50,113.743352
-50.0,50,114.251635
-50.0,50,114.761272
-50.0,50,115.265619
-50.0,50,115.858044
-50.0,50,116.392291
-50.0,50,116.94205
-50.0,50,117.524361
-50.0,50,118.045003
-50.0,50,118.560627
-50.0,50,119.079341
-50.0,50,119.59557
-50.0,50,120.112289
-50.0,50,120.627233
-49.0,50,121.143334
-50.0,50,121.662687
-50.0,50,122.173126
-50.0,50,122.680405
-50.0,50,123.185461
-50.0,50,123.707005
-50.0,50,124.225218
-50.0,50,124.739892
-50.0,50,125.254474
-50.0,50,125.762354
-50.0,50,126.276669
-50.0,50,126.792686
-50.0,50,127.308583
-50.0,50,127.821491
-50.0,50,128.338581
-50.0,50,128.855802
-50.0,50,129.377356
-47.0,50,129.898674
-50.0,50,130.41706
-50.0,50,130.931543
-50.0,50,131.447638
-50.0,50,131.962039
-50.0,50,132.484792
-50.0,50,133.001419
-50.0,50,133.516969
-50.0,50,134.030893
-50.0,50,134.549879
-50.0,50,135.057851
-50.0,50,135.562383
-48.0,50,136.068113
-50.0,50,136.577663
-50.0,50,137.084953
-50.0,50,137.592981
-50.0,50,138.108371
-50.0,50,138.619551
-48.0,50,139.13423
-50.0,50,139.661884
-50.0,50,140.193506
-50.0,50,140.717445
-50.0,50,141.239622
-50.0,50,141.768193
-50.0,50,142.289734
-50.0,50,142.814291
